pair_ID	sentence_A	sentence_B	entailment_label
458	Two children and an adult are standing next to a tree limb	There is no child hanging on a large branch	NEUTRAL
459	Three people are standing next to a tree limb	Two children are hanging on a large branch	NEUTRAL
460	Two children are hanging on a large branch	Two children and an adult are not standing next to a tree limb	NEUTRAL
461	Two children and an adult are standing next to a tree limb	Two children are hanging on a large branch	NEUTRAL
462	A man dressed in black is riding a bike	A man is performing a trick on a bike	NEUTRAL
463	There is no man dressed in black and riding a green bike	A man dressed in black is riding a bike	CONTRADICTION
464	A black man in green is riding a bike	A man dressed in black is riding a bike	NEUTRAL
465	A man is performing stunts on a green bicycle	A man is performing a trick on a green bicycle	ENTAILMENT
466	A man is performing a trick on a green bicycle	There is no man performing a trick on a green bicycle	CONTRADICTION
467	A man dressed in black is riding a bike	A man is performing stunts on a green bicycle	NEUTRAL
468	There is no man performing a trick on a green bicycle	A man dressed in black is riding a bike	NEUTRAL
469	A man is performing a trick on a green bicycle	A man is performing a trick on a bike	ENTAILMENT
470	There is no man dressed in black and riding a green bike	A man is performing a trick on a green bicycle	NEUTRAL
471	A man is performing a trick on a green bicycle	A black man in green is riding a bike	NEUTRAL
472	A man is performing a trick on a green bicycle	A man dressed in black is riding a bike	NEUTRAL
473	A boy is holding a squirt gun	A child is holding a squirt gun	ENTAILMENT
474	There is no child holding a squirt gun	A child is holding a squirt gun	CONTRADICTION
475	A laughing child is holding a water gun and getting sprayed with water	A child with a gun that sprays water is laughing and getting hit by other boys	NEUTRAL
476	There is no child holding a water gun or getting sprayed with water	A laughing child is holding a water gun and getting sprayed with water	CONTRADICTION
477	A child with a gun that sprays water is laughing and getting hit by other boys	A child is holding a squirt gun	ENTAILMENT
478	A child is holding a squirt gun	There is no child holding a water gun or getting sprayed with water	CONTRADICTION
479	A boy is holding a squirt gun	A laughing child is holding a water gun and getting sprayed with water	NEUTRAL
480	There is no child holding a squirt gun	A laughing child is holding a water gun and getting sprayed with water	CONTRADICTION
481	A laughing child is holding a water gun and getting sprayed with water	A child is holding a squirt gun	ENTAILMENT
482	Two brown dogs are fighting over a red ball and are playing in the grass	Two brown dogs are fighting over a red toy and are playing in the grass	ENTAILMENT
483	Two brown dogs are fighting over a red ball and are playing in the grass	There is no dog playing with a red ball	NEUTRAL
484	Two daschunds are playing with a red ball	Two dogs are playing with a small red ball	NEUTRAL
485	Two cats are playing with a red ball	Two daschunds are playing with a red ball	NEUTRAL
486	Two brown dogs are fighting over a red ball and are playing in the grass	Two dogs are playing with a small red ball	NEUTRAL
487	Two cats are playing with a red ball	Two brown dogs are fighting over a red ball and are playing in the grass	NEUTRAL
488	Two daschunds are playing with a red ball	Two brown dogs are fighting over a red toy and are playing in the grass	NEUTRAL
489	There is no dog playing with a red ball	Two daschunds are playing with a red ball	CONTRADICTION
490	Two daschunds are playing with a red ball	Two brown dogs are fighting over a red ball and are playing in the grass	NEUTRAL
491	The black and white dog is running and a person stands behind it	The dog, which is black and white, is running and a person stands behind it	ENTAILMENT
492	The black and white dog is running and a person stands behind it	The black and white dog isn't running and there is no person standing behind	CONTRADICTION
493	A black person is running along a white stand and a dog barks behind him	The black and white dog is running and a person stands behind it	NEUTRAL
494	A little dog is sprinting and the person who owns it is trying to catch it	A little dog is sprinting and its owner is trying to catch it	ENTAILMENT
495	A little dog is slowing down and the owner is quitting chasing it	A little dog is sprinting and its owner is trying to catch it	NEUTRAL
496	The black and white dog is running and a person stands behind it	A little dog is sprinting and the person who owns it is trying to catch it	NEUTRAL
497	The black and white dog is running and a person stands behind it	A little dog is slowing down and the owner is quitting chasing it	NEUTRAL
498	The dog, which is black and white, is running and a person stands behind it	A little dog is sprinting and its owner is trying to catch it	NEUTRAL
499	The black and white dog isn't running and there is no person standing behind	A little dog is sprinting and its owner is trying to catch it	NEUTRAL
500	A black person is running along a white stand and a dog barks behind him	A little dog is sprinting and its owner is trying to catch it	NEUTRAL
501	The black and white dog is running and a person stands behind it	A little dog is sprinting and its owner is trying to catch it	NEUTRAL
502	A man is sitting comfortably at a table	A person is sitting comfortably at the table	ENTAILMENT
503	A man isn't sitting comfortably at the table	A man is sitting comfortably at a table	CONTRADICTION
504	A man is sitting and tables a comfortable discussion	A man is sitting comfortably at a table	NEUTRAL
505	A man wearing a dyed black shirt is sitting at the table and laughing	A black shirt is being worn by a man who is sitting at the table and laughing	ENTAILMENT
506	A man wearing a dyed black shirt is sitting at the table and laughing	There is no man wearing a shirt dyed black, sitting at the table and laughing	CONTRADICTION
507	A laughing man is dyeing a shirt black on the table which you cannot sit at 	A man wearing a dyed black shirt is sitting at the table and laughing	NEUTRAL
508	A black shirt is being worn by a man who is sitting at the table and laughing	A man is sitting comfortably at a table	NEUTRAL
509	A man is sitting comfortably at a table	There is no man wearing a shirt dyed black, sitting at the table and laughing	NEUTRAL
510	A man is sitting comfortably at a table	A laughing man is dyeing a shirt black on the table which you cannot sit at 	NEUTRAL
511	A man wearing a dyed black shirt is sitting at the table and laughing	A person is sitting comfortably at the table	NEUTRAL
512	A man wearing a dyed black shirt is sitting at the table and laughing	A man isn't sitting comfortably at the table	NEUTRAL
513	A man is sitting and tables a comfortable discussion	A man wearing a dyed black shirt is sitting at the table and laughing	NEUTRAL
514	A man is sitting comfortably at a table	A man wearing a dyed black shirt is sitting at the table and laughing	NEUTRAL
515	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians	ENTAILMENT
516	A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	NEUTRAL
517	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	A pedestrian woman is building pink bicycles for boa wearing riders	NEUTRAL
518	The woman wearing silver pants, pink bellbottoms and a pink scarf is happily riding a bike	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	ENTAILMENT
519	The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	CONTRADICTION
520	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people	NEUTRAL
521	The woman wearing silver pants, pink bellbottoms and a pink scarf is happily riding a bike	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	NEUTRAL
522	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike	NEUTRAL
523	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people	NEUTRAL
524	A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	NEUTRAL
525	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians	NEUTRAL
526	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	A pedestrian woman is building pink bicycles for boa wearing riders	NEUTRAL
527	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	NEUTRAL
528	A person, who is riding a bike, is wearing gear which is black	A biker is wearing gear which is black	ENTAILMENT
529	A biker is naked	A biker is wearing gear which is black	CONTRADICTION
530	A biker is wearing gear which is black	A biker wearing black is breaking the gears	NEUTRAL
531	A black helmet is being worn by a man who is pushing a bicycle	One man is wearing a black helmet and pushing a bicycle	ENTAILMENT
532	There is no man wearing a black helmet and pushing a bicycle	One man is wearing a black helmet and pushing a bicycle	CONTRADICTION
533	One man is wearing a black helmet and pushing a bicycle	A man is pushing a helmet towards another one on a black bicycle	NEUTRAL
534	A black helmet is being worn by a man who is pushing a bicycle	A biker is wearing gear which is black	NEUTRAL
535	A biker is wearing gear which is black	There is no man wearing a black helmet and pushing a bicycle	NEUTRAL
536	A man is pushing a helmet towards another one on a black bicycle	A biker is wearing gear which is black	NEUTRAL
537	A person, who is riding a bike, is wearing gear which is black	One man is wearing a black helmet and pushing a bicycle	NEUTRAL
538	One man is wearing a black helmet and pushing a bicycle	A biker is naked	NEUTRAL
539	One man is wearing a black helmet and pushing a bicycle	A biker wearing black is breaking the gears	NEUTRAL
540	A biker is wearing gear which is black	One man is wearing a black helmet and pushing a bicycle	NEUTRAL
541	The man in a grey t-shirt is sitting on a rock in front of the waterfall	The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall	ENTAILMENT
542	The man in a grey t-shirt is sitting on a rock in front of the waterfall	There is no man in a grey t-shirt sitting on a rock in front of the waterfall	CONTRADICTION
543	The man in a grey t-shirt is sitting on a rock in front of the waterfall	A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front	NEUTRAL
544	One woman is sitting and looks at the waterfall	A woman is sitting and looking at the waterfall	ENTAILMENT
545	A woman is standing and isn't looking at the waterfall	A woman is sitting and looking at the waterfall	NEUTRAL
546	A woman is sitting and looking at the waterfall	Somebody is sitting at the waterfall and looking at a woman	NEUTRAL
547	The man in a grey t-shirt is sitting on a rock in front of the waterfall	One woman is sitting and looks at the waterfall	NEUTRAL
548	A woman is standing and isn't looking at the waterfall	The man in a grey t-shirt is sitting on a rock in front of the waterfall	NEUTRAL
549	The man in a grey t-shirt is sitting on a rock in front of the waterfall	Somebody is sitting at the waterfall and looking at a woman	NEUTRAL
550	The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall	A woman is sitting and looking at the waterfall	NEUTRAL
551	There is no man in a grey t-shirt sitting on a rock in front of the waterfall	A woman is sitting and looking at the waterfall	NEUTRAL
552	A woman is sitting and looking at the waterfall	A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front	NEUTRAL
553	A woman is sitting and looking at the waterfall	The man in a grey t-shirt is sitting on a rock in front of the waterfall	NEUTRAL
554	A dog, which is brown, and a black one are racing in the grass	A dog, which is brown, and a black one are running in the grass	ENTAILMENT
555	A dog, which is brown, and a black one are running in the grass	There is no dog running in the grass	CONTRADICTION
556	A black man is running in brown grass and racing a dog	A dog, which is brown, and a black one are running in the grass	NEUTRAL
557	A dark black dog and a light brown dog are playing in the yard in the back	A dark black dog and a light brown dog are playing in the backyard	ENTAILMENT
558	A dark black dog and a light brown dog are playing in the backyard	A dark black dog and a light brown dog are fighting in the backyard	NEUTRAL
559	The backyard light is playing tricks in the dark on the brown and black dog	A dark black dog and a light brown dog are playing in the backyard	NEUTRAL
560	A dark black dog and a light brown dog are playing in the yard in the back	A dog, which is brown, and a black one are running in the grass	NEUTRAL
561	A dark black dog and a light brown dog are fighting in the backyard	A dog, which is brown, and a black one are running in the grass	NEUTRAL
562	The backyard light is playing tricks in the dark on the brown and black dog	A dog, which is brown, and a black one are running in the grass	NEUTRAL
563	A dog, which is brown, and a black one are racing in the grass	A dark black dog and a light brown dog are playing in the backyard	NEUTRAL
564	There is no dog running in the grass	A dark black dog and a light brown dog are playing in the backyard	NEUTRAL
565	A dark black dog and a light brown dog are playing in the backyard	A black man is running in brown grass and racing a dog	NEUTRAL
566	A dog, which is brown, and a black one are running in the grass	A dark black dog and a light brown dog are playing in the backyard	NEUTRAL
567	A dog that has a brown and white coat is trotting through shallow water	A dog that has a white and brown colored coat is trotting through shallow water.	ENTAILMENT
568	A dog that has a brown and white coat is sitting in shallow water	A dog that has a brown and white coat is trotting through shallow water	NEUTRAL
569	A dog that has a brown and white coat is trotting through shallow water	A brown and white coat is floating across shallow water near a trotting dog	NEUTRAL
570	A white and brown dog is walking through the water with difficulty	A white and brown dog is pacing through the water with difficulty	ENTAILMENT
571	A white and brown dog is walking through the water with difficulty	There is no white and brown dog pacing with through the water difficulty	CONTRADICTION
572	A white man is walking a dog through brown water with difficulty	A white and brown dog is walking through the water with difficulty	NEUTRAL
573	A white and brown dog is pacing through the water with difficulty	A dog that has a brown and white coat is trotting through shallow water	NEUTRAL
574	A dog that has a brown and white coat is trotting through shallow water	There is no white and brown dog pacing with through the water difficulty	NEUTRAL
575	A white man is walking a dog through brown water with difficulty	A dog that has a brown and white coat is trotting through shallow water	NEUTRAL
576	A dog that has a white and brown colored coat is trotting through shallow water.	A white and brown dog is walking through the water with difficulty	NEUTRAL
577	A dog that has a brown and white coat is sitting in shallow water	A white and brown dog is walking through the water with difficulty	NEUTRAL
578	A white and brown dog is walking through the water with difficulty	A brown and white coat is floating across shallow water near a trotting dog	NEUTRAL
579	A white and brown dog is walking through the water with difficulty	A dog that has a brown and white coat is trotting through shallow water	NEUTRAL
580	A group of boys are playing with a ball in front of a large door made of wood	A bunch of boys are playing with a ball in front of a large door made of wood	ENTAILMENT
581	A group of boys are quiet in front of a large door made of wood	A group of boys are playing with a ball in front of a large door made of wood	NEUTRAL
582	A group of boys are playing with a ball in front of a large door made of wood	A ball made of wood is being played through a door in front of a large group of boys 	NEUTRAL
583	The children are playing in front of a door, which is very large	The children are playing in front of a large door	ENTAILMENT
584	The children aren't playing in front of a large door	The children are playing in front of a large door	CONTRADICTION
585	A group of boys are playing with a ball in front of a large door made of wood	The children are playing in front of a door, which is very large	ENTAILMENT
586	The children aren't playing in front of a large door	A group of boys are playing with a ball in front of a large door made of wood	NEUTRAL
587	A bunch of boys are playing with a ball in front of a large door made of wood	The children are playing in front of a large door	ENTAILMENT
588	The children are playing in front of a large door	A group of boys are quiet in front of a large door made of wood	NEUTRAL
589	The children are playing in front of a large door	A ball made of wood is being played through a door in front of a large group of boys 	NEUTRAL
590	A group of boys are playing with a ball in front of a large door made of wood	The children are playing in front of a large door	ENTAILMENT
591	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	A woman is taking off a cloak, which is very large, and revealing extravagant apparel	ENTAILMENT
592	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	A woman is putting on a cloak, which is very large, and concealing an extravagant dress	CONTRADICTION
593	A black, red, white and pink dress is being worn by a woman	A dress, which is black, red, white and pink is being worn by a woman	ENTAILMENT
594	There is no black, red, white and pink dress being worn by a woman	A black, red, white and pink dress is being worn by a woman	CONTRADICTION
595	A dress, which is black, red, white and pink is being worn by a woman	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	NEUTRAL
596	There is no black, red, white and pink dress being worn by a woman	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	NEUTRAL
597	A black, red, white and pink dress is being worn by a woman	A woman is taking off a cloak, which is very large, and revealing extravagant apparel	NEUTRAL
598	A woman is putting on a cloak, which is very large, and concealing an extravagant dress	A black, red, white and pink dress is being worn by a woman	NEUTRAL
599	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	A black, red, white and pink dress is being worn by a woman	NEUTRAL
600	The teenage girl is wearing beads that are red	A teenage girl is wearing beads that are red	ENTAILMENT
601	A teenage girl is storing away beads that are red	A teenage girl is wearing beads that are red	NEUTRAL
602	A teenage girl is wearing beads that are red	The girl likes red and isn't wearing beads for teenagers	NEUTRAL
603	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling	ENTAILMENT
604	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling	CONTRADICTION
605	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace 	NEUTRAL
606	A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling	A teenage girl is wearing beads that are red	NEUTRAL
607	A teenage girl is wearing beads that are red	There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling	NEUTRAL
608	A teenage girl is wearing beads that are red	A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace 	NEUTRAL
609	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	The teenage girl is wearing beads that are red	NEUTRAL
610	A teenage girl is storing away beads that are red	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	NEUTRAL
611	The girl likes red and isn't wearing beads for teenagers	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	NEUTRAL
612	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	A teenage girl is wearing beads that are red	ENTAILMENT
613	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope	ENTAILMENT
614	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A boy is coming down a wall artificially built for climbing and isn't attached to the rope	CONTRADICTION
615	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A climber on the wall is attached to the climbing boy with an artificially built rope	NEUTRAL
616	A fearful little boy is on a climbing wall	A little boy, who looks fearful, is on a climbing wall.	ENTAILMENT
617	A fearful little boy is on a climbing wall	A fearful little boy is on the ground	NEUTRAL
618	A climbing boy rescues the fearful cat from over the wall	A fearful little boy is on a climbing wall	NEUTRAL
619	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A little boy, who looks fearful, is on a climbing wall.	NEUTRAL
620	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A fearful little boy is on the ground	NEUTRAL
621	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A climbing boy rescues the fearful cat from over the wall	NEUTRAL
622	A fearful little boy is on a climbing wall	A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope	NEUTRAL
623	A boy is coming down a wall artificially built for climbing and isn't attached to the rope	A fearful little boy is on a climbing wall	NEUTRAL
624	A climber on the wall is attached to the climbing boy with an artificially built rope	A fearful little boy is on a climbing wall	NEUTRAL
625	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A fearful little boy is on a climbing wall	NEUTRAL
626	A dad is launching his daughter into a swimming pool	A father is launching the daughter in a swimming pool	ENTAILMENT
627	A father is launching the daughter in a swimming pool	A father is taking away his daughter from a swimming pool	NEUTRAL
628	A father is in the swimming pool during his daughters launch	A father is launching the daughter in a swimming pool	NEUTRAL
629	The man is tossing a kid into the swimming pool that is near the ocean	One man is tossing a kid into the swimming pool that is near the ocean	ENTAILMENT
630	A man isn't tossing a kid into the swimming pool that is near the ocean	The man is tossing a kid into the swimming pool that is near the ocean	CONTRADICTION
631	The man is tossing a kid into the swimming pool that is near the ocean	A kid swimming in the ocean is tossing a coin into the pool, near the man	NEUTRAL
632	One man is tossing a kid into the swimming pool that is near the ocean	A father is launching the daughter in a swimming pool	NEUTRAL
633	A man isn't tossing a kid into the swimming pool that is near the ocean	A father is launching the daughter in a swimming pool	NEUTRAL
634	A kid swimming in the ocean is tossing a coin into the pool, near the man	A father is launching the daughter in a swimming pool	NEUTRAL
635	A dad is launching his daughter into a swimming pool	The man is tossing a kid into the swimming pool that is near the ocean	NEUTRAL
636	A father is taking away his daughter from a swimming pool	The man is tossing a kid into the swimming pool that is near the ocean	NEUTRAL
637	A father is in the swimming pool during his daughters launch	The man is tossing a kid into the swimming pool that is near the ocean	NEUTRAL
638	A father is launching the daughter in a swimming pool	The man is tossing a kid into the swimming pool that is near the ocean	NEUTRAL
639	One man is climbing the cliff with a rope	One man is climbing a cliff with a rope	ENTAILMENT
640	One man is descending a cliff with a rope	One man is climbing a cliff with a rope	NEUTRAL
641	A social climber is tying a man to a cliff with a rope	One man is climbing a cliff with a rope	NEUTRAL
642	A person is climbing a rock with a rope, which is pink	A rock is being climbed by a person with a rope, which is pink	ENTAILMENT
643	A person is standing in front of a rock with a rope, which is pink	A person is climbing a rock with a rope, which is pink	NEUTRAL
644	A person is climbing a rock with a rope, which is pink	A person with pink climbing gear roped the rock	NEUTRAL
645	A rock is being climbed by a person with a rope, which is pink	One man is climbing a cliff with a rope	ENTAILMENT
646	One man is climbing a cliff with a rope	A person is standing in front of a rock with a rope, which is pink	NEUTRAL
647	One man is climbing a cliff with a rope	A person with pink climbing gear roped the rock	NEUTRAL
648	A person is climbing a rock with a rope, which is pink	One man is climbing the cliff with a rope	ENTAILMENT
649	A person is climbing a rock with a rope, which is pink	One man is descending a cliff with a rope	NEUTRAL
650	A person is climbing a rock with a rope, which is pink	A social climber is tying a man to a cliff with a rope	NEUTRAL
651	A person is climbing a rock with a rope, which is pink	One man is climbing a cliff with a rope	NEUTRAL
652	The young boy is climbing the wall made of rock	One young boy is climbing a wall made of rock	ENTAILMENT
653	A young boy isn't climbing a wall made of rock	The young boy is climbing the wall made of rock	CONTRADICTION
654	A young climber is making a rock wall for the boys	The young boy is climbing the wall made of rock	NEUTRAL
655	A young child is climbing a rock climbing wall which is indoors	A young kid is climbing a rock climbing wall which is indoors	ENTAILMENT
656	A young child is climbing a rock climbing wall which is indoors	A young child is under a rock climbing wall which is indoors	NEUTRAL
657	A young child is climbing a rock climbing wall which is indoors	A child is indoors watching a program about some young climbers on a rock wall.	NEUTRAL
658	The young boy is climbing the wall made of rock	A young kid is climbing a rock climbing wall which is indoors	NEUTRAL
659	A young child is under a rock climbing wall which is indoors	The young boy is climbing the wall made of rock	NEUTRAL
660	A child is indoors watching a program about some young climbers on a rock wall.	The young boy is climbing the wall made of rock	NEUTRAL
661	One young boy is climbing a wall made of rock	A young child is climbing a rock climbing wall which is indoors	NEUTRAL
662	A young boy isn't climbing a wall made of rock	A young child is climbing a rock climbing wall which is indoors	NEUTRAL
663	A young climber is making a rock wall for the boys	A young child is climbing a rock climbing wall which is indoors	NEUTRAL
664	A young child is climbing a rock climbing wall which is indoors	The young boy is climbing the wall made of rock	NEUTRAL
665	One man is doing a trick with a bicycle in midair	One man is doing a bicycle trick in midair	ENTAILMENT
666	One man is doing a bicycle trick in midair	A man is failing to perform a bicycle trick in midair	NEUTRAL
667	A cyclist is fearlessly performing a trick in the air	The cyclist is performing a trick in the air	ENTAILMENT
668	The cyclist is performing a trick in the air	The cyclist isn't performing a trick in the air	CONTRADICTION
669	The air is tricking a performing cyclist	The cyclist is performing a trick in the air	NEUTRAL
670	One man is doing a bicycle trick in midair	A cyclist is fearlessly performing a trick in the air	NEUTRAL
671	One man is doing a bicycle trick in midair	The cyclist isn't performing a trick in the air	NEUTRAL
672	One man is doing a bicycle trick in midair	The air is tricking a performing cyclist	NEUTRAL
673	One man is doing a trick with a bicycle in midair	The cyclist is performing a trick in the air	ENTAILMENT
674	A man is failing to perform a bicycle trick in midair	The cyclist is performing a trick in the air	CONTRADICTION
675	One man is doing a bicycle trick in midair	The cyclist is performing a trick in the air	ENTAILMENT
676	A dog, which is black, and a white one are staring at each other in the street	A dog, which is black, and another one, which is white, are staring at each other in the street	ENTAILMENT
677	A dog, which is black, and a white one are ignoring each other in the street	A dog, which is black, and a white one are staring at each other in the street	CONTRADICTION
678	A dog, which is black, and a white one are staring at each other in the street	One white dog is staring at the black street	NEUTRAL
679	Two dogs of different breeds are looking angrily at each other across a street	Two dogs of different breeds are looking at each other across a street	ENTAILMENT
680	Two dogs of different breeds are looking at each other across a street	There are no dogs of different breeds looking at each other across a street	CONTRADICTION
681	Along two streets, different breeds of dogs are being looked at	Two dogs of different breeds are looking at each other across a street	NEUTRAL
682	Two dogs of different breeds are looking angrily at each other across a street	A dog, which is black, and a white one are staring at each other in the street	NEUTRAL
683	A dog, which is black, and a white one are staring at each other in the street	There are no dogs of different breeds looking at each other across a street	NEUTRAL
684	A dog, which is black, and a white one are staring at each other in the street	Along two streets, different breeds of dogs are being looked at	NEUTRAL
685	A dog, which is black, and another one, which is white, are staring at each other in the street	Two dogs of different breeds are looking at each other across a street	NEUTRAL
686	Two dogs of different breeds are looking at each other across a street	A dog, which is black, and a white one are ignoring each other in the street	NEUTRAL
687	One white dog is staring at the black street	Two dogs of different breeds are looking at each other across a street	NEUTRAL
688	A dog, which is black, and a white one are staring at each other in the street	Two dogs of different breeds are looking at each other across a street	NEUTRAL
690	A dog next to a tree, which is probably a pine, is dropping a bucket	A dog next to a tree, which is probably a pine, is biting a bucket	NEUTRAL
691	A dog next to a tree, which is probably a pine, is biting a bucket	A dog in a bucket is biting a tree which is probably a pine	NEUTRAL
692	A dog which is furry and black is in a backyard and is carrying a basket in its mouth.	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	ENTAILMENT
693	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	There is no dog which is furry and black in a back yard carrying a basket in its mouth.	CONTRADICTION
694	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	A dog in the backyard is carrying black fur in a basket in its mouth.	NEUTRAL
695	A dog which is furry and black is in a backyard and is carrying a basket in its mouth.	A dog next to a tree, which is probably a pine, is biting a bucket	NEUTRAL
696	A dog next to a tree, which is probably a pine, is biting a bucket	There is no dog which is furry and black in a back yard carrying a basket in its mouth.	NEUTRAL
697	A dog in the backyard is carrying black fur in a basket in its mouth.	A dog next to a tree, which is probably a pine, is biting a bucket	NEUTRAL
699	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	A dog next to a tree, which is probably a pine, is dropping a bucket	NEUTRAL
700	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	A dog in a bucket is biting a tree which is probably a pine	NEUTRAL
701	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	A dog next to a tree, which is probably a pine, is biting a bucket	NEUTRAL
702	Two persons of large size are sitting on a park bench and they have a bottle of soda between them	Two large persons are sitting on a park bench and they have a bottle of soda between them	ENTAILMENT
703	Two large persons are sitting on a park bench and they have a bottle of soda between them	Two large persons are standing near a park bench and they have nothing between them	CONTRADICTION
704	Two large park benches have a person sitting and a bottle of soda between them	Two large persons are sitting on a park bench and they have a bottle of soda between them	ENTAILMENT
705	A man and a woman are sitting comfortably on the bench	Two people are sitting comfortably on the bench	ENTAILMENT
706	A man and a woman are sitting comfortably on the bench	Nobody is sitting comfortably on the bench	CONTRADICTION
707	Two large persons are sitting on a park bench and they have a bottle of soda between them	Two people are sitting comfortably on the bench	NEUTRAL
708	Nobody is sitting comfortably on the bench	Two large persons are sitting on a park bench and they have a bottle of soda between them	NEUTRAL
709	A man and a woman are sitting comfortably on the bench	Two persons of large size are sitting on a park bench and they have a bottle of soda between them	NEUTRAL
710	Two large persons are standing near a park bench and they have nothing between them	A man and a woman are sitting comfortably on the bench	NEUTRAL
711	A man and a woman are sitting comfortably on the bench	Two large park benches have a person sitting and a bottle of soda between them	NEUTRAL
712	A man and a woman are sitting comfortably on the bench	Two large persons are sitting on a park bench and they have a bottle of soda between them	NEUTRAL
713	One man is leading the race	A man is leading the race	ENTAILMENT
714	A man is leading the race	A man is bringing up the rear of the race	NEUTRAL
715	The man is racing for the lead 	A man is leading the race	NEUTRAL
716	A few men in a competition are running outside	A few men in a competition are running outdoors	ENTAILMENT
717	A few men in a competition are running outside	A few men in a competition are running indoors	CONTRADICTION
718	A few men in a competition are running outside	A few men are running competitions outside	NEUTRAL
719	A man is leading the race	A few men in a competition are running outdoors	NEUTRAL
720	A man is leading the race	A few men in a competition are running indoors	NEUTRAL
721	A man is leading the race	A few men are running competitions outside	NEUTRAL
722	A few men in a competition are running outside	One man is leading the race	NEUTRAL
723	A man is bringing up the rear of the race	A few men in a competition are running outside	NEUTRAL
724	A few men in a competition are running outside	The man is racing for the lead 	NEUTRAL
725	A few men in a competition are running outside	A man is leading the race	NEUTRAL
726	The subject is being studied by a man with a camera	A man with a camera is studying the subject	ENTAILMENT
727	A man with a camera is studying the subject	There is no man with a camera studying the subject	CONTRADICTION
728	A man with a camera is studying the subject	The study subject is a camera man	NEUTRAL
729	The man with the dyed purple hat is operating a camera that makes videos	The man in the purple hat is operating a camera that makes videos	ENTAILMENT
730	The man in the purple hat isn't operating a camera that makes videos	The man in the purple hat is operating a camera that makes videos	CONTRADICTION
