a,b
The worker reaches higher areas to paint.,The worker reaches high areas to paint.
A painter is standing on smaller silver ladder and there is another silver ladder close by.,A painter is standing on small silver ladder and there is another silver ladder close by.
An older girl in light brown and a younger girl in red are decorating a Christmas tree.,An older girl in light brown and a young girl in red are decorating a Christmas tree.
A toddler girl plays with another younger toddler girl.,A toddler girl plays with another young toddler girl.
The man's hair will be shorter than it was when he came in.,The man's hair will be short
A young girl watched as a girl younger than her climb a tree.,A young girl watched as a girl young
A large black dog towers over a far smaller black dog.,A large black dog towers over a far small black dog.
The Cafe Express sign is no longer in use.,The Cafe Express sign is no long in use.
A person with pink hair and tattoos on their upper and lower back.,A person with pink hair and tattoos on their upper and low back.
An older boy is pointing out something to a younger boy inside and airport terminal with an airplane in the background,An older boy is pointing out something to a young boy inside and airport terminal with an airplane in the background
a boy points to something else for a younger boy to look at,a boy points to something else for a young boy to look at
A girl is pointing something to a younger boy.,A girl is pointing something to a young boy.
A bigger dogs fights with a smaller dog,A bigger dogs fights with a small dog
Elderly man opening up a gift in a living room setting with a younger relative nearby.,Elderly man opening up a gift in a living room setting with a young relative nearby.
The man was given a gift by his younger relative.,The man was given a gift by his young relative.
"An Asian chef is in the foreground, working over a steaming grill while a younger man is behind him.","An Asian chef is in the foreground, working over a steaming grill while a young man is behind him."
A chef is preparing food on a grill near a younger man.,A chef is preparing food on a grill near a young man.
The rain is making cars drive slower,The rain is making cars drive slow
Two boys climb up to top of the rock to see what a better view.,Two boys climb up to top of the rock to see what a good view.
Blue car on a small road with men in the background and a res car on a slightly higher road.,Blue car on a small road with men in the background and a res car on a slightly high road.
a younger group of men set up a farmers market,a young group of men set up a farmers market
A dog chases a bigger dog outside.,A dog chases a big dog outside.
A very large brown dog is playing with a smaller curly-haired dog.,A very large brown dog is playing with a small curly-haired dog.
"A man sits on a light brown couch reading to the child in his lap, while a woman, seated to his right, plays with a younger child.","A man sits on a light brown couch reading to the child in his lap, while a woman, seated to his right, plays with a young child."
a younger woman holds a camera,a young woman holds a camera
"A man wearing a cap, brown shirt and tan slacks, stands in between a red and white cooler and a blue and white cooler on one side; and a blue crate filled with items on the other side.","A man wearing a cap, brown shirt and tan slacks, stands in between a red and white cool and a blue and white cooler on one side; and a blue crate filled with items on the other side."
The man is next to a blue and red cooler for a drink.,The man is next to a blue and red cool for a drink.
One man works harder than the other.,One man works hard
A brown dog with a pink collar with a heart on it playing with a bigger dog.,A brown dog with a pink collar with a heart on it playing with a big dog.
A dog is playing with a bigger dog.,A dog is playing with a big dog.
Both the larger dog and the smaller dog have their mouths open.,Both the larger dog and the small dog have their mouths open.
A boy rides down the street with a younger boy behind him on the same bike.,A boy rides down the street with a young boy behind him on the same bike.
A young child lies in the middle of a merry-go-round while a younger child looks on.,A young child lies in the middle of a merry-go-round while a young child looks on.
The younger child sits in time-out while the other child plays,The young child sits in time-out while the other child plays
A boy shoots a gun that is larger than he is.,A boy shoots a gun that is large
The boy is faster than the woman.,The boy is fast
A younger adult cleans a scooter wheel.,A young adult cleans a scooter wheel.
a younger woman poses,a young woman poses
A younger woman wearing leggings rapping at a cafe.,A young woman wearing leggings rapping at a cafe.
A smaller sized bulldozer downtown in the street with two men standing in front of it.,A small sized bulldozer downtown in the street with two men standing in front of it.
A boy helping a younger girl blow bubbles.,A boy helping a young girl blow bubbles.
A boy helps a younger girl trap rats.,A boy helps a young girl trap rats.
A boy helps a younger girl blow bubbles but he pops them.,A boy helps a young girl blow bubbles but he pops them.
A small animal tries to attract the attention of a larger one.,A small animal tries to attract the attention of a large one.
Men discussing who has the better farm,Men discussing who has the good farm
Men fighting over who has the better farm,Men fighting over who has the good farm
The black bird on the line is the first of a larger flock all about to roost on the line.,The black bird on the line is the first of a large flock all about to roost on the line.
"A boy wearing a blue Cookie Monster shirt stands on his hands while two smaller boys are in the background, one observing the handstand and the other turned away in a running motion.","A boy wearing a blue Cookie Monster shirt stands on his hands while two small boys are in the background, one observing the handstand and the other turned away in a running motion."
An older man is hugging a younger woman in a dark room with people in the background.,An older man is hugging a young woman in a dark room with people in the background.
A boat is moving quicker than usual down a rapid,A boat is moving quick
The quarterback is younger than 99 years old.,The quarterback is young
Two elderly women are walking past a younger woman on a public path.,Two elderly women are walking past a young woman on a public path.
"The playful blonde girl wearing a pink blouse and saddle shoes, swung higher and higher, tilting her head to smile at the cameraman every time she passed his lens.","The playful blonde girl wearing a pink blouse and saddle shoes, swung high and higher, tilting her head to smile at the cameraman every time she passed his lens."
A young girl in a dress kneels at the shoes of a younger boy in a brown shirt.,A young girl in a dress kneels at the shoes of a young boy in a brown shirt.
A small female is at the feet of a younger boy.,A small female is at the feet of a young boy.
A young girl begs honors a smaller boy,A young girl begs honors a small boy
A Chinese+ man and younger boy in some type of worship place worshiping.,A Chinese+ man and young boy in some type of worship place worshiping.
A woman uses a ladder to reach the higher portion of the wall to paint it.,A woman uses a ladder to reach the high portion of the wall to paint it.
An old man with a bag of chips sits with a younger man holding a drink.,An old man with a bag of chips sits with a young man holding a drink.
Tourists are bartering for lower prices.,Tourists are bartering for low prices.
A man is higher up than the woman.,A man is high up
The man is protesting higher wages.,The man is protesting high wages.
Young people brought wine cooler to their picnic.,Young people brought wine cool to their picnic.
two men are in a contest to see who can balance themselves longer,two men are in a contest to see who can balance themselves long
The building is painted is a shade of  blue that appears brighter on dull days.,The building is painted is a shade of blue that appears bright on dull days.
The Asian man is working to become stronger for an upcoming boxing match.,The Asian man is working to become strong for an upcoming boxing match.
A boy and his younger brother playing together at the playground.,A boy and his young brother playing together at the playground.
younger men enjoy fishing,young men enjoy fishing
Two kids are out in a small boat in the ocean with a larger boat in the background.,Two kids are out in a small boat in the ocean with a large boat in the background.
A man in a gray hoodie stares at a heavier man with spectacles and an earring.,A man in a gray hoodie stares at a heavy man with spectacles and an earring.
The workers are trying to get deeper into the hole.,The workers are trying to get deep into the hole.
Two workers boarding a large Tugboat from a smaller orange boat.,Two workers boarding a large Tugboat from a small orange boat.
"A person on a sidewalk with a silver mask, playing a guitar, with sticks between their toes touching two smaller instruments.","A person on a sidewalk with a silver mask, playing a guitar, with sticks between their toes touching two small instruments."
"A man and two children, one pointing at the camera, are holding large translucent plastic bags, filled with smaller bags of a popcorn like snack.","A man and two children, one pointing at the camera, are holding large translucent plastic bags, filled with small bags of a popcorn like snack."
A young child in a striped sweatshirt brushes the hair of a younger child.,A young child in a striped sweatshirt brushes the hair of a young child.
The younger child has long hair.,The young child has long hair.
The younger child is bald.,The young child is bald.
The giraffe looks taller than the trees in the background.,The giraffe looks tall
The person here is moving faster than average walking speed.,The person here is moving fast
A girl in a pink checkered coat walks down a hallway followed by another younger girl.,A girl in a pink checkered coat walks down a hallway followed by another young girl.
A boy in a pink checkered coat walks down a hallway followed by another younger girl.,A boy in a pink checkered coat walks down a hallway followed by another young girl.
the small store sells equipment to make you jump higher,the small store sells equipment to make you jump high
A small child on riding toy and a larger child on a small bicycle with training wheels.,A small child on riding toy and a large child on a small bicycle with training wheels.
One human is much bigger than the other,One human is much big
the older person is showing the younger how to ski,the older person is showing the young how to ski
A boy is whispering to a younger boy in a crowded room.,A boy is whispering to a young boy in a crowded room.
A larger brown dog is chasing a smaller gray dog on the grass.,A larger brown dog is chasing a small gray dog on the grass.
Two sisters are standing in the snow while the older sister comforts the younger one with an embrace.,Two sisters are standing in the snow while the older sister comforts the young one with an embrace.
"Two sisters are standing in the snow, the older sister is hugging the younger one.","Two sisters are standing in the snow, the older sister is hugging the young one."
A young lady is chewing cherries in her nostrils for better digestion.,A young lady is chewing cherries in her nostrils for good digestion.
The older dog wanted to play with the younger white puppy.,The older dog wanted to play with the young white puppy.
People moving out of flooded homes to better dry places.,People moving out of flooded homes to good dry places.
A child in jeans is swinging higher than everyone else.,A child in jeans is swinging high
An old man talks to a younger woman wearing a name tag.,An old man talks to a young woman wearing a name tag.
An older man speaking to a younger woman who is wearing a name tag.,An older man speaking to a young woman who is wearing a name tag.
A larger dog viciously attacks a smaller dog.,A larger dog viciously attacks a small dog.
The children wearing red are better at soccer.,The children wearing red are good at soccer.
A girl is practicing having better balance.,A girl is practicing having good balance.
the man is sitting in the back of the classroom writing on the chalk board that is in the front and about 40 feet away.  he does this to get a better view of what he is doing,the man is sitting in the back of the classroom writing on the chalk board that is in the front and about 40 feet away. he does this to get a good view of what he is doing
A young male skateboarder is jumping from a great height onto a lower floor.,A young male skateboarder is jumping from a great height onto a low floor.
There are two people peering down over a smaller little person.,There are two people peering down over a small little person.
There is no longer a rain forest.,There is no long a rain forest.
The man is smarter than the lizard,The man is smart
A little girl in a highchair has food all over her lower face and her finger in her mouth.,A little girl in a highchair has food all over her low face and her finger in her mouth.
Three younger men dancing in front of a semi-circled crowd.,Three young men dancing in front of a semi-circled crowd.
a younger man is standing on a shoreline,a young man is standing on a shoreline
The woman is heavier than the man.,The woman is heavy
"Two little girls are playing in their house, one is on the floor grinning evilly wearing pink pajamas and the younger one is standing over her wearing a hairnet and mask and purple pajamas.","Two little girls are playing in their house, one is on the floor grinning evilly wearing pink pajamas and the young one is standing over her wearing a hairnet and mask and purple pajamas."
A little girl in her pajamas is crying scared lying on ther floor while her younger sister dressed in a mask stands over her.,A little girl in her pajamas is crying scared lying on ther floor while her young sister dressed in a mask stands over her.
A bigger male kid wearing a mask chases down his younger sister in the house,A bigger male kid wearing a mask chases down his young sister in the house
"A little girl is laying down on her back on a hardwood floor, looking out of the corner of her eyes at a smaller child who is wearing pajamas, a hairnet and a surgical mask.","A little girl is laying down on her back on a hardwood floor, looking out of the corner of her eyes at a small child who is wearing pajamas, a hairnet and a surgical mask."
A little girl walks towards a smaller childer who doesn't see her coming.,A little girl walks towards a small childer who doesn't see her coming.
"A man looks wistfully at his tuba, wishing his COPD was not so advanced that he could no longer play.","A man looks wistfully at his tuba, wishing his COPD was not so advanced that he could no long play."
The people stayed warmer with blankets.,The people stayed warm with blankets.
An elderly person is helped by a younger man.,An elderly person is helped by a young man.
A younger man is ignoring an elderly person who needs help.,A young man is ignoring an elderly person who needs help.
An older brother is dumping water on his younger brother.,An older brother is dumping water on his young brother.
The machines were faster than the tellers in the banks,The machines were fast
The stone sculpture is larger than the man,The stone sculpture is large
a younger lady is wearing headphones,a young lady is wearing headphones
An older woman is showing a younger woman how to play the piano,An older woman is showing a young woman how to play the piano
The younger woman is learning to play a song on the piano.,The young woman is learning to play a song on the piano.
two younger men play saxophones,two young men play saxophones
A man is trying to get better at balancing,A man is trying to get good at balancing
A photographer holds up the camera to get a better shot.,A photographer holds up the camera to get a good shot.
"Four cute elderly lady friends are waiting together on a bench under a large tree, and a younger woman with blond curls and yellow skirt sits off to the side.","Four cute elderly lady friends are waiting together on a bench under a large tree, and a young woman with blond curls and yellow skirt sits off to the side."
One younger looking woman sitting on the opposite side of a bench from a group of 4 older women.,One young looking woman sitting on the opposite side of a bench from a group of 4 older women.
A bigger man with a gray shirt and sweatband going down the stairs where another guy in glasses and an orange shirt is standing.,A big man with a gray shirt and sweatband going down the stairs where another guy in glasses and an orange shirt is standing.
Two men playing table tennis in a room with lower lighting.,Two men playing table tennis in a room with low lighting.
An older person carries a younger person.,An older person carries a young person.
A man watches two younger boys brush dirt off each other.,A man watches two young boys brush dirt off each other.
The lower bodies of two people skating,The low bodies of two people skating
An older woman talking to a group of younger women at a tavern.,An older woman talking to a group of young women at a tavern.
"There is a group of children formed in a circle and talking, while one younger child, in a green shirt, stands singled out and observing.","There is a group of children formed in a circle and talking, while one young child, in a green shirt, stands singled out and observing."
A child is getting shorter hair with a cutting implement.,A child is getting short hair with a cutting implement.
Two old men stare at a younger man.,Two old men stare at a young man.
"The small, golden dog is attempting to take a furry object from a larger look-alike","The small, golden dog is attempting to take a furry object from a large look-alike"
"An adult couple is talking with a younger girl, and they are all smiling.","An adult couple is talking with a young girl, and they are all smiling."
"An adult couple is talking with a younger girl, and they are all fighting","An adult couple is talking with a young girl, and they are all fighting"
"A city scene at night swathed in yellow street-lamp light shows narrow brick streets, cable-car tracks, and close-together apartment buildings, setting the stage for a man and woman standing in the lower left.","A city scene at night swathed in yellow street-lamp light shows narrow brick streets, cable-car tracks, and close-together apartment buildings, setting the stage for a man and woman standing in the low left."
a younger man chases a boy,a young man chases a boy
People that are in a wooded area where a man with cooler and women with a blanket appear to be going on a picnic.,People that are in a wooded area where a man with cool and women with a blanket appear to be going on a picnic.
people that are in a snowy area where a man with a cooler and a woman with a basket appear to be going on a picnic,people that are in a snowy area where a man with a cool and a woman with a basket appear to be going on a picnic
A white dog is jumping along side a smaller brown dog.,A white dog is jumping along side a small brown dog.
They are going higher,They are going high
"Two people walking with hobo bags, one is a short female and the other is much taller and dressed like a clown.","Two people walking with hobo bags, one is a short female and the other is much tall and dressed like a clown."
A brown and white dog barking through the fence at smaller black and white dog.,A brown and white dog barking through the fence at small black and white dog.
The larger dog is barking at the smaller dog.,The larger dog is barking at the small dog.
The brown dog jumps higher than the white dog.,The brown dog jumps high
The men are competing to see who is better at kicking the ball over the net.,The men are competing to see who is good at kicking the ball over the net.
"All things considered, staying on the slide was better than risking the piranhas.","All things considered, staying on the slide was good"
The man is following the directions of the sign and jumping up high so he can stomp harder on the ground.,The man is following the directions of the sign and jumping up high so he can stomp hard on the ground.
The girl is younger than 10 years old.,The girl is young
There large brown dog is running towards three smaller dogs.,There large brown dog is running towards three small dogs.
"A man makes his own tools, to provide better gripping during work.","A man makes his own tools, to provide good gripping during work."
A large dog looks at a smaller dog who is chewing a blue rope.,A large dog looks at a small dog who is chewing a blue rope.
a large dog looks at a smaller dog,a large dog looks at a small dog
A smaller orange dog putting its head on a larger black and white dog,A smaller orange dog putting its head on a large black and white dog
"Two men are having a conversation in front of a graffiti-filled wall, with two younger men in the background.","Two men are having a conversation in front of a graffiti-filled wall, with two young men in the background."
The boy is smaller than the shopping cart.,The boy is small
A white dog attacks a smaller dog.,A white dog attacks a small dog.
A white dog is chasing after a smaller dog who stole his toy.,A white dog is chasing after a small dog who stole his toy.
A black and white dog chases a bigger dog across the grass.,A black and white dog chases a big dog across the grass.
There is a smaller dog chasing a bigger dog.,There is a smaller dog chasing a big dog.
The bigger dog is black.,The big dog is black.
a big dog stiffing a smaller dog near the edge of a river.,a big dog stiffing a small dog near the edge of a river.
"The older male wearing a green shirt and shorts with black hair is teaching the younger male, wearing a graphic tee with blond-hair how to play a game, called bump off.","The older male wearing a green shirt and shorts with black hair is teaching the young male, wearing a graphic tee with blond-hair how to play a game, called bump off."
The older man has a younger fashion sense than the younger man.,The older man has a young fashion sense than the younger man.
A man is teaching a younger man how to play a game.,A man is teaching a young man how to play a game.
The older man is teaching the younger man.,The older man is teaching the young man.
The younger man will soon be better than the older man.,The younger man will soon be good
The tennis balls are warmer than before,The tennis balls are warm
The white dog is larger than the yellow dog.,The white dog is large
A golden retriever has on a collar and a harness and has a muddy lower body.,A golden retriever has on a collar and a harness and has a muddy low body.
The dog has a lower body.,The dog has a low body.
A man is carrying a large red bag higher up the stairs.,A man is carrying a large red bag high up the stairs.
Two young men in a boat heading away from a larger boat with a single man on it.,Two young men in a boat heading away from a large boat with a single man on it.
A diverse group of younger looking people seem to be waiting for a lecture to start.,A diverse group of young looking people seem to be waiting for a lecture to start.
The stick is held higher than the dog's height.,The stick is held high
A teenage girl is holding a younger boy.,A teenage girl is holding a young boy.
The girl is bigger than he is.,The girl is big
A group of two young boys fight over who is the better person.,A group of two young boys fight over who is the good person.
The workbench is shorter than the child.,The workbench is short
The man is wearing a brown shirt and dancing with a younger woman.,The man is wearing a brown shirt and dancing with a young woman.
A woman is dancing with a younger man.,A woman is dancing with a young man.
"The railroad is running on schedule on this afternoon, so the workers had better get out of the way.","The railroad is running on schedule on this afternoon, so the workers had good get out of the way."
"Two women, one younger than the other sitting inside the back of an open truck eating a meal out of plastic containers.","Two women, one young"
A person is moving with their feet on the ground and is lower than the surrounding landscape.,A person is moving with their feet on the ground and is low
Two men wearing colorful sweaters about to wrestle each other in a game that compete with strength and the ability to be quick and stronger than the other person.,Two men wearing colorful sweaters about to wrestle each other in a game that compete with strength and the ability to be quick and strong
protesters demand better food at mcdonalds and shorter lines,protesters demand better food at mcdonalds and short lines
A little girl is holding a younger little girl and running with her.,A little girl is holding a young little girl and running with her.
A little girl is protecting a younger girl.,A little girl is protecting a young girl.
A girl in a pink dress carries a younger girl.,A girl in a pink dress carries a young girl.
A younger boy is pitching a baseball wearing red jersey and a black hat.,A young boy is pitching a baseball wearing red jersey and a black hat.
A younger person is pitching a baseball wearing red jersey and a black hat.,A young person is pitching a baseball wearing red jersey and a black hat.
A younger girl is pitching a baseball wearing red jersey and a black hat.,A young girl is pitching a baseball wearing red jersey and a black hat.
A very young child is sitting behind an even younger child with her hands around him.,A very young child is sitting behind an even young child with her hands around him.
a tan dog jumping through the field as a bigger dog chases after him,a tan dog jumping through the field as a big dog chases after him
a man pressures a younger man into performing better,a man pressures a younger man into performing good
Children play in the dirt next to two trees that no longer have leaves.,Children play in the dirt next to two trees that no long have leaves.
two younger men play baseball,two young men play baseball
An asian man has a pink tube in his hand and points it at the pink tube in the younger mans hand.,An asian man has a pink tube in his hand and points it at the pink tube in the young mans hand.
A heavier man wearing a blue shirt and black pants walks down the sidewalk of a shopping center.,A heavy man wearing a blue shirt and black pants walks down the sidewalk of a shopping center.
The legs and lower bodies of people sitting and smoking.,The legs and low bodies of people sitting and smoking.
The ride is moving slower than usual today.,The ride is moving slow
Something is better than nothing,Something is good
The dog is elderly and lame and can no longer run.,The dog is elderly and lame and can no long run.
The children are shorter than the adults,The children are short
A person taller person walks around a lady holding things.,A person tall person walks around a lady holding things.
A woman is walking in a dress in front of a much taller man.,A woman is walking in a dress in front of a much tall man.
"A bearded man, thumbs on straps of waterproof orange bib overalls, stands in front of a grocery cooler full of fish.","A bearded man, thumbs on straps of waterproof orange bib overalls, stands in front of a grocery cool full of fish."
"A man, thumbs on straps of waterproof purple bib overalls, sits in front of a grocery cooler full of fish.","A man, thumbs on straps of waterproof purple bib overalls, sits in front of a grocery cool full of fish."
"A bearded man, thumbs on straps of waterproof orange bib overalls, stands in front of a grocery cooler full of tuna.","A bearded man, thumbs on straps of waterproof orange bib overalls, stands in front of a grocery cool full of tuna."
An older male is dancing with a younger female.,An older male is dancing with a young female.
The younger female is watching the older male dance while she stands there.,The young female is watching the older male dance while she stands there.
A small black dog is running along side a bigger tri-colored dog that is carrying a rope toy in its mouth.,A small black dog is running along side a big tri-colored dog that is carrying a rope toy in its mouth.
The construction work is taking longer than it should.,The construction work is taking long
A man is rock climbing higher on the wall than anyone's ever made it with excited onlookers watching.,A man is rock climbing high on the wall than anyone's ever made it with excited onlookers watching.
A younger person works with some flour,A young person works with some flour
Some men are jumping higher than others.,Some men are jumping high
a younger woman examining plants,a young woman examining plants
A considerably older woman is beating a younger man in Tai Chi.,A considerably older woman is beating a young man in Tai Chi.
A dog chases a smaller dog.,A dog chases a small dog.
The bigger dog is really an orangutan,The big dog is really an orangutan
A younger man in a green jacket and white apron works with filters while an older man in a blue vest and apron looks on.,A young man in a green jacket and white apron works with filters while an older man in a blue vest and apron looks on.
At least one person in the photo is younger than 5 years old.,At least one person in the photo is young
Two men having and intense discussion about who is the better football team.,Two men having and intense discussion about who is the good football team.
A window washer is washing windows on a higher floor of a building,A window washer is washing windows on a high floor of a building
The younger man in the black t-shirt ran in front of a group of 3.,The young man in the black t-shirt ran in front of a group of 3.
The barefoot man climbs a palm tree for a better view.,The barefoot man climbs a palm tree for a good view.
Two men stand on a wall to get a better view.,Two men stand on a wall to get a good view.
"Four gentlemen, two in shorts and two in pants are walking along the left side of the street, while a buggy or carriage is parked on the right side of the street with a cat lounging in the lower compartment.","Four gentlemen, two in shorts and two in pants are walking along the left side of the street, while a buggy or carriage is parked on the right side of the street with a cat lounging in the low compartment."
Several younger people walking down a street in heavy clothing.,Several young people walking down a street in heavy clothing.
Some of the women here are probably taller than average.,Some of the women here are probably tall
A black dog inside house is looking at something at higher position.,A black dog inside house is looking at something at high position.
A child is trying to learn how to roller blade faster,A child is trying to learn how to roller blade fast
Two children push a younger child on a swing that is hanging from a large shade tree.,Two children push a young child on a swing that is hanging from a large shade tree.
A younger guy enjoying waterskiing.,A young guy enjoying waterskiing.
A younger person enjoying waterskiing.,A young person enjoying waterskiing.
A younger girl enjoying waterskiing.,A young girl enjoying waterskiing.
People are moving to a better location.,People are moving to a good location.
two younger men with a dolly,two young men with a dolly
A large dog lying in the grass with a smaller dog next to him.,A large dog lying in the grass with a small dog next to him.
"A large brown dog relaxes in a green, grassy field while a smaller light brown dog walks on.","A large brown dog relaxes in a green, grassy field while a small light brown dog walks on."
A woman in a black shirt and black sunglasses is using a newspaper to block the sun so that she can better see her laptop which she is using on the side of a pool while drinking wine.,A woman in a black shirt and black sunglasses is using a newspaper to block the sun so that she can good see her laptop which she is using on the side of a pool while drinking wine.
A woman in a skirt and green t-shirt has her arm draped over the shoulder of a younger woman in a white skirt and orange t-shirt.,A woman in a skirt and green t-shirt has her arm draped over the shoulder of a young woman in a white skirt and orange t-shirt.
A woman in a skirt and green t-shirt has her arm draped over the shoulder of a younger woman in a white skirt and orange t-shirt,A woman in a skirt and green t-shirt has her arm draped over the shoulder of a young woman in a white skirt and orange t-shirt
"An old man sits outside with his guitar, watching an younger generation pass by.","An old man sits outside with his guitar, watching an young generation pass by."
A person in a long-sleeved striped top stands near a cat in front of a glass-doored beverage cooler in a store.,A person in a long-sleeved striped top stands near a cat in front of a glass-doored beverage cool in a store.
The little boy in the red shirt looks at the smaller boy in an orange shirt while riding bikes.,The little boy in the red shirt looks at the small boy in an orange shirt while riding bikes.
a younger woman hugging a man,a young woman hugging a man
A young boy and a younger girl walking across water on stepping stones,A young boy and a young girl walking across water on stepping stones
The day is the day you are no longer free.,The day is the day you are no long free.
An older boy holding the ears of a younger boy.,An older boy holding the ears of a young boy.
A younger boy getting bullied at his school,A young boy getting bullied at his school
A woman and a younger child resting in bed.,A woman and a young child resting in bed.
Older woman with a microphone in her right hand and a piece of paper in her left standing in front of a younger female cellist.,Older woman with a microphone in her right hand and a piece of paper in her left standing in front of a young female cellist.
An older woman stands in front of a younger female with a cello.,An older woman stands in front of a young female with a cello.
The older woman is teaching the younger woman.,The older woman is teaching the young woman.
Woman at the beach with a younger girl.,Woman at the beach with a young girl.
The tree limb is smaller than the dog.,The tree limb is small
A younger asian male displaying cookies for sale.,A young asian male displaying cookies for sale.
the girl has hair longer than Rapunzel,the girl has hair long
The mosaic hangs higher than eye level.,The mosaic hangs high
a younger man holds a cigarette,a young man holds a cigarette
Two younger boys are standing in front of an older man in front of a large wooden cross.,Two young boys are standing in front of an older man in front of a large wooden cross.
Two older men and one younger boy hold hands at a party.,Two older men and one young boy hold hands at a party.
An elderly man is speaking to two younger men.,An elderly man is speaking to two young men.
One of the oxen is much larger than the other.,One of the oxen is much large
The building is taller than the woman.,The building is tall
A guy is helping a younger girl rock climb with trees in the background.,A guy is helping a young girl rock climb with trees in the background.
A guy is helping a younger girl.,A guy is helping a young girl.
A person is climbing a tree to get a better view.,A person is climbing a tree to get a good view.
The ladies watch the younger lady take pictures with a digital camera.,The ladies watch the young lady take pictures with a digital camera.
Three old women watch a younger lady take pictures.,Three old women watch a young lady take pictures.
A large dog stands over a smaller dog who has its mouth open.,A large dog stands over a small dog who has its mouth open.
A small black and brown dog growls at a larger black and brown dog.,A small black and brown dog growls at a large black and brown dog.
It is colder outside.,It is cold outside.
It is one of the colder seasons.,It is one of the cold seasons.
A old man becomes younger by sitting still.,A old man becomes young by sitting still.
A shirtless younger man is eating at a diner.,A shirtless young man is eating at a diner.
The girl is younger than 1.,The girl is young
younger men putting together a device,young men putting together a device
A little girl in a pink coat stands on a pink scooter on an outdoor walking path while a younger boy sits on a blue tricycle beside her.,A little girl in a pink coat stands on a pink scooter on an outdoor walking path while a young boy sits on a blue tricycle beside her.
A man in a pink shirt is standing next to two younger men in a dark room.,A man in a pink shirt is standing next to two young men in a dark room.
A man pulls his hat down lower over his eyes as he begins to steal a motor bike.,A man pulls his hat down low over his eyes as he begins to steal a motor bike.
An older brother leading his younger sister,An older brother leading his young sister
A man is riding a bicycle down a road while being closely followed by a German shepherd and possibly a black Labrador as two younger men walk along the curb toward them.,A man is riding a bicycle down a road while being closely followed by a German shepherd and possibly a black Labrador as two young men walk along the curb toward them.
The two younger men are wearing band sweatshirts.,The two young men are wearing band sweatshirts.
A girl in a white shirt with pink shoes walking in the park with a younger child in a blue shirt walking in front of her.,A girl in a white shirt with pink shoes walking in the park with a young child in a blue shirt walking in front of her.
Two younger men on the roof of a building.,Two young men on the roof of a building.
The two younger men are best friends.,The two young men are best friends.
The two younger men are in the basement.,The two young men are in the basement.
An elderly man with thinning gray hair and a gray beard is sitting with two younger women looking at gifts.,An elderly man with thinning gray hair and a gray beard is sitting with two young women looking at gifts.
two younger men are performing karate,two young men are performing karate
The child is much smaller than the woman.,The child is much small
A large white dog and a smaller brown dog fight.,A large white dog and a small brown dog fight.
The older girl is laughing and holding the younger girl outside,The older girl is laughing and holding the young girl outside
One of the dogs is smaller than the other.,One of the dogs is small
many younger people dancing at a party,many young people dancing at a party
Two humans with a smaller human are in a building.,Two humans with a small human are in a building.
"A woman and a younger girl, both wearing blue jackets and knit caps, slide down a hill on a snow sled, a dog running at their side.","A woman and a young girl, both wearing blue jackets and knit caps, slide down a hill on a snow sled, a dog running at their side."
A man that has a BMI that is higher than 25 is smoking.,A man that has a BMI that is high
The Asian woman was pushing the little asian girl on the swing to go faster and higher,The Asian woman was pushing the little asian girl on the swing to go faster and high
A younger male is out with an older male.,A young male is out with an older male.
The man is helping a child see better by raising him above the crowd.,The man is helping a child see good by raising him above the crowd.
A younger man is playing a organ as an older man watches.,A young man is playing a organ as an older man watches.
A younger man takes music lessons from an older man.,A young man takes music lessons from an older man.
A younger man plays a guitar.,A young man plays a guitar.
An older man observes a younger man's musical talent.,An older man observes a young man's musical talent.
A man is passionately playing the cello in within a larger orchestra.,A man is passionately playing the cello in within a large orchestra.
A man is within a larger orchestra,A man is within a large orchestra
An older man and younger teenage boy working in the lawn.,An older man and young teenage boy working in the lawn.
An older man tells a younger man about his life.,An older man tells a young man about his life.
A boy jumps onto his younger soccer player brother.,A boy jumps onto his young soccer player brother.
Running faster than a speeding bullet and about to overtake the white sedan.,Running fast
Someone is running faster than lightening and is almost able to beat the white sedan.,Someone is running fast
Running slower than a snail.,Running slow
An animal is faster than a speeding bullet.,An animal is fast
A younger boy and an older man focus on tinkering with some kid of electronic device.,A young boy and an older man focus on tinkering with some kid of electronic device.
Police and bystanders push a car with a person trapped inside to a safer place.,Police and bystanders push a car with a person trapped inside to a safe place.
A boy surrounded by pigeons is interacting with a person who is part of a larger crowd.,A boy surrounded by pigeons is interacting with a person who is part of a large crowd.
"A smiling, young woman in a green long-sleeved shirt and jeans is leaning on a slightly taller young woman wearing a blue pullover and jeans.","A smiling, young woman in a green long-sleeved shirt and jeans is leaning on a slightly tall young woman wearing a blue pullover and jeans."
A man tries to overcome obstacles and make a faster time on this lap of the mountain biking race.,A man tries to overcome obstacles and make a fast time on this lap of the mountain biking race.
two younger men are walking in the street,two young men are walking in the street
The woman is faster than the man,The woman is fast
a young girl doing gymnastics on the shore of a beach while another is walking deeper into the beach.,a young girl doing gymnastics on the shore of a beach while another is walking deep into the beach.
a younger person riding a bike,a young person riding a bike
a man writes a letter to a younger man,a man writes a letter to a young man
A smiling younger couple hug in a grassy area while posing for the camera.,A smiling young couple hug in a grassy area while posing for the camera.
A big animal is moving toward a smaller animal.,A big animal is moving toward a small animal.
a younger group of teams are competing,a young group of teams are competing
Two tall basketball players are attempting to block a smaller player from throwing the ball.,Two tall basketball players are attempting to block a small player from throwing the ball.
